"排名","企业名称","统一社会信用代码","累计销售额_亿元","月份","行业大类","行业中类","行业小类"
"1","深圳市怡亚通供应链股份有限公司","91440300279398406U","764.0310","2025-12-01","批发业","贸易经纪与代理","贸易代理"
"2","深圳盛盟供应链管理有限公司","91440300MAEG2YWD06","675.2391","2025-12-01","批发业","机械设备、五金产品及电子产品批发","其他机械设备及电子产品批发"
"3","深圳宏桥供应链管理有限公司","91440300MA5GQURU1K","343.4627","2025-12-01","批发业","矿产品、建材及化工产品批发","金属及金属矿批发"
"4","中粮贸易(深圳)有限公司","91440300MA5ERWY500","243.7419","2025-12-01","批发业","农、林、牧、渔产品批发","谷物、豆及薯类批发"
"5","深圳敬业恒泰供应链有限责任公司","91440300073387955F","195.5502","2025-12-01","批发业","矿产品、建材及化工产品批发","金属及金属矿批发"
"6","三星电机(深圳)有限公司","91440300799201750H","166.9700","2025-12-01","批发业","机械设备、五金产品及电子产品批发","其他机械设备及电子产品批发"
"7","深圳中电港技术股份有限公司","91440300311666571Q","154.0968","2025-12-01","批发业","机械设备、五金产品及电子产品批发","其他机械设备及电子产品批发"
"8","深圳市比亚迪供应链管理有限公司","914403000818527144","152.3415","2025-12-01","批发业","机械设备、五金产品及电子产品批发","汽车及零配件批发"
"9","深圳思尔泰技术有限公司","91440300MA5HLTC01A","143.6246","2025-12-01","批发业","机械设备、五金产品及电子产品批发","其他机械设备及电子产品批发"
"10","深圳承远航空油料有限公司","9144030061892984X9","130.4788","2025-12-01","批发业","矿产品、建材及化工产品批发","石油及制品批发"
